Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,0,0,0,1,0,0,18,0,0,7,6,13.133333333333333,0,8,7,12.221428571428572,16.2,0.3,-0.92,2
1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,3,6,6,12.0,2,6,6,12.0,13.9,-0.3,0.79,2
1,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,1,0,0,1,1,0,19,0,0,6,5,11.4,0,6,1,10.0,10.8,1.4,1.74,1
1,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,0,0,0,1,1,0,24,0,0,6,0,0.0,0,6,0,0.0,12.7,3.7,-1.7,1
4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,1,0,0,1,1,0,29,0,2,7,5,11.9,1,8,5,11.0,13.9,-0.3,0.79,0
1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,1,0,0,1,1,0,23,0,0,6,6,12.571428571428571,0,6,6,12.428571428571429,8.9,1.4,3.51,2
1,1,3,9147,1,1,125.0,1,1,38,7,7,120.1,0,0,1,1,1,0,19,0,0,5,5,11.2,0,5,4,10.75,16.2,0.3,-0.92,0
1,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,0,0,0,1,1,0,26,0,0,6,6,12.0,0,6,5,10.8,12.7,3.7,-1.7,1
1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,0,5,0,0.0,0,5,0,0.0,7.6,2.6,0.32,1
1,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,0,7,7,11.975,0,8,8,13.75,13.9,-0.3,0.79,2
1,1,1,171,1,1,141.0,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,0,0.0,0,0,0,0.0,15.5,2.8,-4.06,0
1,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,0,6,3,11.666666666666666,0,6,1,12.0,12.4,0.5,1.79,0
1,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,0,6,6,12.333333333333334,0,6,3,12.333333333333334,10.8,1.4,1.74,2
1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,5,3,10.333333333333334,0,5,3,10.857142857142858,10.8,1.4,1.74,0
1,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,1,0,0,1,1,1,21,0,0,6,4,10.5,0,6,1,11.0,9.4,-0.8,-3.12,0
1,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,0,6,6,13.666666666666666,0,6,6,13.333333333333334,8.9,1.4,3.51,2
1,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,0,7,7,14.842857142857142,0,8,8,15.055555555555555,16.2,0.3,-0.92,2
2,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,0,0,0,1,1,0,33,0,0,6,6,12.0,0,6,6,11.666666666666666,10.8,1.4,1.74,2
1,1,6,9853,1,1,114.0,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,0,6,5,12.2,0,6,5,12.2,10.8,1.4,1.74,0
1,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,0,1,0,0.0,0,5,0,0.0,10.8,1.4,1.74,0
1,39,1,9003,1,4,160.0,1,3,3,4,2,180.4,0,0,1,1,1,0,24,0,6,12,6,12.166666666666666,7,12,10,13.3,12.4,0.5,1.79,0
1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,0,5,5,12.0,0,5,3,11.333333333333334,12.7,3.7,-1.7,1
2,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,1,0,0,1,0,0,33,0,0,6,6,11.0,0,6,5,11.0,9.4,-0.8,-3.12,2
1,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,1,0,0,1,0,1,22,0,0,8,7,13.08,0,8,7,13.08,10.8,1.4,1.74,2
1,1,6,9147,1,1,143.0,1,38,37,9,9,128.7,1,0,0,1,1,0,23,0,0,5,4,14.0,0,5,5,13.8,11.1,0.6,2.02,1
1,43,2,9119,1,1,115.0,1,38,19,9,6,112.2,1,0,1,1,1,0,18,0,0,5,2,10.0,0,5,0,0.0,15.5,2.8,-4.06,1
1,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,0,7,0,0.0,0,7,0,0.0,13.9,-0.3,0.79,0
1,17,2,9773,1,1,133.1,41,19,1,9,9,105.0,1,0,0,0,0,0,21,1,0,6,6,14.0,0,6,6,13.5,8.9,1.4,3.51,2
1,15,1,9130,1,1,133.1,41,1,1,4,4,100.0,0,0,0,1,0,0,26,1,0,6,2,12.0,0,6,0,0.0,8.9,1.4,3.51,0
2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,0,6,3,12.666666666666666,0,6,0,0.0,7.6,2.6,0.32,0
1,15,1,9119,1,1,130.0,26,38,3,9,2,137.0,1,0,0,1,1,0,19,1,0,5,5,14.0,0,5,3,13.25,13.9,-0.3,0.79,1
1,1,5,9773,1,1,135.0,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,0,6,6,13.666666666666666,0,6,6,13.333333333333334,8.9,1.4,3.51,2
1,1,5,9500,1,1,132.0,1,37,37,7,7,120.3,1,0,0,1,0,1,18,0,0,7,7,13.75,0,8,8,14.47777777777778,12.4,0.5,1.79,2
1,1,1,9085,1,1,135.0,1,1,2,9,1,134.3,1,0,0,1,0,0,19,0,0,5,5,14.2,0,5,5,13.8,12.7,3.7,-1.7,1
1,1,4,9500,1,1,115.0,1,3,3,2,2,111.5,1,0,1,0,0,0,19,0,0,7,4,11.96,0,7,0,0.0,13.9,-0.3,0.79,0
2,39,1,8014,0,1,130.0,1,37,37,6,5,113.5,1,0,0,1,0,0,36,0,0,6,0,0.0,0,6,0,0.0,9.4,-0.8,-3.12,0
4,39,1,9003,1,12,133.1,1,37,37,9,6,160.0,0,0,0,1,0,0,43,0,13,18,18,14.63157894736842,10,13,13,14.23076923076923,15.5,2.8,-4.06,2
1,18,1,9853,1,1,123.0,1,19,19,9,7,117.4,1,0,0,1,0,0,19,0,0,6,0,0.0,0,6,0,0.0,11.1,0.6,2.02,0
1,51,1,9070,1,1,130.0,1,3,1,2,8,122.2,0,0,1,1,0,0,20,0,4,10,10,13.0,5,11,11,12.272727272727272,11.1,0.6,2.02,2
1,1,2,9238,1,1,122.0,1,37,38,4,7,118.2,1,0,0,1,0,0,19,0,0,6,0,0.0,0,6,0,0.0,16.2,0.3,-0.92,0
1,1,1,9085,1,1,113.0,1,1,1,4,4,106.7,1,0,0,1,0,0,20,0,0,6,4,14.2,0,6,4,13.25,15.5,2.8,-4.06,0
1,1,5,9500,1,1,111.0,1,3,4,4,3,108.2,1,0,0,1,0,0,20,0,2,7,6,13.266666666666666,0,7,5,12.3,12.4,0.5,1.79,0
1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,1,0,0,1,0,0,20,0,0,7,6,11.666666666666666,0,7,3,13.0,16.2,0.3,-0.92,1
1,1,1,9238,1,1,142.0,1,37,37,6,7,136.1,1,0,0,1,0,0,18,0,0,6,6,13.857142857142858,0,6,6,15.0,13.9,-0.3,0.79,2
1,17,2,9147,1,1,123.0,1,1,38,4,7,115.3,1,0,0,1,0,1,18,0,0,5,3,13.0,0,5,3,11.0,8.9,1.4,3.51,1
1,1,1,9085,1,1,131.0,1,19,19,9,9,139.8,1,0,0,1,0,0,19,0,0,5,5,13.4,0,5,5,12.8,10.8,1.4,1.74,2
1,1,3,9773,1,1,158.0,1,1,38,4,7,157.0,1,0,0,1,0,0,18,0,0,6,6,12.666666666666666,0,6,6,12.571428571428571,10.8,1.4,1.74,2
1,17,2,9500,1,1,122.0,1,37,37,9,9,131.0,1,0,0,1,0,0,18,0,0,7,6,12.516666666666666,0,7,6,12.516666666666666,7.6,2.6,0.32,0
1,43,1,9500,1,1,130.0,1,38,38,9,5,100.0,0,0,0,1,0,0,20,0,0,7,6,11.616666666666667,0,7,7,13.0,13.9,-0.3,0.79,1
1,17,1,9238,1,1,154.0,1,19,37,9,7,140.4,1,0,0,1,0,1,20,0,0,6,2,10.0,0,6,4,10.75,7.6,2.6,0.32,1
1,17,1,9147,1,1,120.0,1,19,19,3,3,113.4,0,0,0,1,0,0,20,0,0,5,3,10.333333333333334,0,5,3,10.666666666666666,12.4,0.5,1.79,1
1,1,2,9085,1,1,140.0,1,37,38,9,7,137.0,0,0,0,1,0,0,18,0,0,5,5,13.142857142857142,0,5,5,11.4,9.4,-0.8,-3.12,2
1,1,1,9147,1,1,127.0,1,2,19,4,5,121.8,0,0,0,1,0,0,18,0,0,5,5,12.6,0,5,5,14.0,11.1,0.6,2.02,2
1,17,1,9254,1,1,133.1,1,1,1,4,5,131.0,1,0,0,1,0,0,21,0,0,6,3,11.0,0,6,2,11.0,9.4,-0.8,-3.12,0
1,1,2,9147,1,1,120.0,1,19,19,9,7,118.6,1,0,0,1,0,0,19,0,0,5,5,10.8,0,5,4,11.25,16.2,0.3,-0.92,2
1,1,1,171,1,1,137.0,1,3,19,2,9,122.3,0,0,0,1,0,0,19,0,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74,0
1,1,1,9085,1,1,130.0,1,19,38,4,7,121.3,1,0,0,1,0,0,19,0,0,6,6,14.166666666666666,0,6,6,12.2,15.5,2.8,-4.06,2
1,44,1,9085,1,39,160.0,1,37,37,9,9,160.0,1,0,0,1,0,0,20,0,1,6,6,14.166666666666666,1,6,5,13.77777777777778,12.4,0.5,1.79,2
1,17,3,9238,1,1,131.0,1,1,39,5,3,122.6,1,0,0,1,0,0,18,0,0,6,6,13.0,0,6,6,13.666666666666666,12.4,0.5,1.79,2
1,17,6,9500,1,1,132.0,1,1,37,8,9,128.0,1,0,0,1,0,0,19,0,0,7,7,13.467142857142855,0,8,8,15.011111111111113,12.4,0.5,1.79,2
1,17,2,9070,1,1,130.0,1,37,37,9,9,123.7,1,0,0,1,0,0,18,0,0,6,6,12.333333333333334,0,6,6,13.0,7.6,2.6,0.32,2
1,1,4,9147,1,1,126.0,1,1,19,4,8,120.1,1,0,0,1,0,0,19,0,0,5,5,12.4,0,5,5,14.6,8.9,1.4,3.51,2
1,17,6,9500,1,1,148.0,1,1,19,3,3,131.7,1,0,0,1,0,0,19,0,0,7,5,14.0,0,7,0,0.0,13.9,-0.3,0.79,0
1,43,1,9238,1,1,130.0,1,38,37,9,7,133.2,0,0,0,1,0,0,20,0,5,9,9,11.666666666666666,2,7,7,11.714285714285714,7.6,2.6,0.32,2
1,17,1,9670,1,1,120.0,1,19,19,5,5,113.0,1,0,0,1,0,0,20,0,0,5,4,12.2,0,5,4,11.5,7.6,2.6,0.32,2
1,1,1,9773,1,1,153.0,1,1,1,141,175,157.9,0,0,1,1,0,1,18,0,0,6,6,14.833333333333334,0,6,6,14.833333333333334,8.9,1.4,3.51,2
1,1,2,9500,1,1,117.0,1,19,1,4,7,112.1,0,0,0,1,0,1,20,0,0,7,5,13.188,0,8,7,12.892857142857142,11.1,0.6,2.02,1
1,18,1,9500,1,1,178.0,1,19,1,4,8,174.7,0,0,0,1,0,0,18,0,0,7,7,17.125,0,8,8,17.5875,13.9,-0.3,0.79,2
1,1,5,9500,1,1,129.0,1,37,37,9,9,128.8,1,0,0,1,0,0,19,0,0,7,6,12.666666666666666,0,7,6,12.666666666666666,7.6,2.6,0.32,2
1,1,6,9773,1,1,116.0,1,19,1,4,4,110.1,1,0,0,1,0,1,19,0,0,6,6,12.666666666666666,0,6,5,12.0,12.4,0.5,1.79,2
1,51,1,9147,1,1,99.0,1,3,1,3,3,99.7,1,0,1,0,0,0,22,0,0,5,0,0.0,0,5,0,0.0,8.9,1.4,3.51,1
1,1,3,9238,1,1,135.0,1,1,12,9,10,121.0,1,0,0,1,0,1,19,0,0,6,6,11.333333333333334,0,6,6,11.5,12.4,0.5,1.79,2
1,1,3,9500,1,1,141.0,1,19,19,9,7,131.7,1,0,0,1,0,1,19,0,0,7,7,13.605,0,8,8,12.33125,15.5,2.8,-4.06,2
1,17,5,9853,1,1,132.0,1,37,38,5,6,119.1,1,0,0,1,0,1,19,0,0,6,5,12.0,0,6,5,10.8,9.4,-0.8,-3.12,2
1,1,4,9254,1,1,132.0,1,12,19,9,9,124.7,1,0,0,1,0,0,19,0,0,5,0,0.0,0,5,0,0.0,7.6,2.6,0.32,0
1,17,1,9254,1,1,113.0,1,1,37,9,10,117.2,1,0,0,1,0,0,20,0,0,6,5,11.2,0,6,3,11.666666666666666,7.6,2.6,0.32,0
1,1,1,9147,1,1,134.0,1,3,19,2,10,128.8,0,0,0,1,0,0,18,0,0,5,5,13.375,0,5,5,14.166666666666666,13.9,-0.3,0.79,2
1,1,1,9500,1,1,136.0,1,1,19,9,9,131.5,0,0,0,1,0,1,20,0,0,7,6,13.863333333333337,0,8,7,14.178571428571429,11.1,0.6,2.02,2
1,1,1,9085,1,1,129.0,1,1,38,4,7,123.4,0,0,0,1,0,0,19,0,0,5,5,12.4,0,5,5,13.4,7.6,2.6,0.32,2
1,17,1,9853,1,1,138.0,1,38,38,7,6,124.7,1,0,0,1,0,0,18,0,0,6,3,12.333333333333334,0,6,5,10.833333333333334,9.4,-0.8,-3.12,1
1,43,1,9853,1,1,115.0,1,3,37,2,5,108.7,1,0,0,1,0,0,21,0,0,6,3,12.666666666666666,0,6,3,10.0,9.4,-0.8,-3.12,0
1,1,1,9853,1,1,129.0,1,38,37,6,6,138.1,0,0,0,1,0,0,19,0,0,6,6,12.0,0,6,4,11.5,7.6,2.6,0.32,0
1,1,1,9147,1,1,131.0,1,38,38,9,9,126.5,0,0,0,1,0,1,18,0,0,5,5,10.6,0,5,5,11.8,12.4,0.5,1.79,2
1,1,3,9238,1,1,125.0,1,19,1,9,10,123.6,1,0,0,1,0,0,20,0,0,6,4,11.0,0,6,6,11.833333333333334,9.4,-0.8,-3.12,2
1,39,1,8014,0,1,120.0,1,1,19,6,8,122.0,0,0,0,1,0,1,24,0,0,6,5,11.0,0,6,5,12.6,11.1,0.6,2.02,2
1,1,1,9670,1,1,128.0,1,19,1,4,1,118.2,0,0,0,1,0,0,19,0,0,6,6,13.166666666666666,0,6,6,13.0,10.8,1.4,1.74,0
1,1,2,9500,1,1,134.0,1,19,19,9,9,125.8,1,0,0,1,0,0,18,0,0,7,7,14.91875,0,8,8,15.355,15.5,2.8,-4.06,2
1,17,5,9853,1,1,132.0,1,12,12,4,4,123.3,1,0,0,1,0,0,21,0,0,6,4,11.5,0,6,3,11.0,10.8,1.4,1.74,0
1,17,2,9670,1,1,124.0,1,1,19,5,4,124.4,0,0,0,1,0,0,19,0,0,5,5,14.2,0,5,5,14.2,7.6,2.6,0.32,2
1,17,1,9773,1,1,133.1,1,19,37,7,7,126.0,0,0,0,1,0,1,19,0,0,6,6,12.5,0,6,6,13.0,15.5,2.8,-4.06,2
3,39,1,9003,1,1,170.0,1,1,37,6,6,170.0,0,0,1,1,0,0,47,0,0,1,0,0.0,0,6,0,0.0,8.9,1.4,3.51,1
1,17,3,9238,1,1,125.0,1,19,19,7,8,121.5,0,0,0,1,0,0,19,0,0,6,5,11.666666666666666,0,6,4,11.0,13.9,-0.3,0.79,2
1,39,1,9500,1,3,130.0,1,2,2,1,1,130.0,0,0,0,1,0,0,29,0,1,8,7,14.257142857142856,1,8,7,14.257142857142856,12.7,3.7,-1.7,2
1,43,1,9238,1,1,125.0,1,19,19,4,8,117.0,1,0,0,1,0,0,21,0,0,6,3,12.0,0,6,2,11.333333333333334,16.2,0.3,-0.92,0
1,39,1,9085,1,1,130.0,1,37,19,9,7,130.0,1,0,0,1,0,0,28,0,0,5,4,11.25,0,5,4,10.5,12.7,3.7,-1.7,1
1,17,1,9500,1,1,131.0,1,2,38,4,5,132.3,1,0,0,1,0,0,19,0,0,7,6,11.683333333333332,0,7,6,11.683333333333332,7.6,2.6,0.32,2
1,42,1,8014,0,1,150.0,1,19,2,4,6,148.0,0,0,0,1,0,0,26,0,0,6,3,11.666666666666666,0,6,5,12.0,9.4,-0.8,-3.12,2
1,17,2,9254,1,1,125.0,1,37,37,9,8,122.6,1,0,1,0,0,0,20,0,0,6,4,11.75,0,6,6,13.166666666666666,11.1,0.6,2.02,0
1,1,1,9670,1,1,131.0,1,37,37,9,9,123.0,1,0,0,1,0,1,18,0,0,5,3,11.666666666666666,0,5,4,13.5,7.6,2.6,0.32,1
1,39,1,9853,1,1,130.0,1,37,19,9,5,102.5,0,0,0,1,0,0,27,0,0,6,5,13.2,0,6,5,12.0,7.6,2.6,0.32,2
1,1,2,9500,1,1,123.0,1,34,34,90,90,113.3,1,0,0,1,0,0,20,0,0,7,4,11.95,0,7,4,11.95,7.6,2.6,0.32,0
1,1,5,9853,1,1,141.0,1,37,19,9,5,133.0,1,0,0,1,0,0,18,0,0,6,5,12.4,0,6,5,10.4,9.4,-0.8,-3.12,0
1,7,1,9500,1,3,140.0,1,1,1,9,5,140.0,0,0,0,1,0,0,33,0,2,7,6,14.35,3,8,6,14.583333333333334,16.2,0.3,-0.92,0
1,44,1,9991,0,39,140.0,1,37,19,9,8,140.0,0,0,0,1,0,1,26,0,2,6,6,12.666666666666666,2,6,6,13.166666666666666,9.4,-0.8,-3.12,1
1,39,1,9773,1,19,133.1,1,19,19,3,4,104.0,0,0,1,0,0,0,27,0,0,6,5,12.0,0,6,0,0.0,11.1,0.6,2.02,0
1,18,3,9070,1,1,131.0,1,1,37,5,5,122.3,1,0,0,0,0,0,19,0,0,6,6,12.166666666666666,0,6,0,0.0,15.5,2.8,-4.06,0
1,17,2,9254,1,1,143.0,1,1,19,4,6,135.0,0,0,0,1,0,0,20,0,0,6,0,0.0,0,6,0,0.0,11.1,0.6,2.02,0
1,17,3,9500,1,1,141.0,1,38,1,9,4,129.0,1,0,0,1,0,1,18,0,0,7,6,13.05,0,7,6,13.05,7.6,2.6,0.32,2
1,39,1,9085,1,1,133.1,1,1,19,9,9,162.3,1,0,0,1,0,0,24,0,0,6,2,11.0,0,6,0,0.0,8.9,1.4,3.51,0
1,17,4,9070,1,1,148.0,1,1,3,4,1,163.4,1,0,0,1,0,0,20,0,0,6,6,11.5,0,6,6,12.0,16.2,0.3,-0.92,2
